Razón Social;Marca;Importe;Fecha;Provincia;CC.AA.;CIF;Sitio web;Sector;Tamaño de la empresa;Sede;Tipo;Dirección;Constitución;CNAE;SIC;Twitter_90d;Twitter_90d_enisa
DAIL SOFTWARE, S.L.;DAIL;100.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B86642030;http://www.daily.com;Servicio al consumidor;51-200 empleados;Kochi, Kerela;De financiación privada;C/ UNIVERSIDAD POLITECNICA DE MADRID CAMPUS MONTEGA, .  28660, BOADILLA DEL MONTE, MADRID   ;8 años, 2 meses y 25 dias;6209  Otros servicios relacionados con las tecnologías de la información y la informática;6209  Otros servicios relacionados con las tecnologías de la información y la informática;501.0;
COPY PRINT SERVICIOS DE REPROGRAFIA, S.L.;Copy Print;207.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B82072828;http://www.copyprint.ro;Servicio al consumidor;11-50 empleados;Kochi, Kerela;Empresa individual;CALLE DE ACEDINOS, 4.  28946, FUENLABRADA, MADRID    ;22 años, 9 meses y 7 dias;1812  Otras actividades de impresión y artes gráficas;1812  Otras actividades de impresión y artes gráficas;501.0;
COMUNICACIONES GOLBER, S.L.;Noysi;225.000,00 €;04/02/2021;Madrid;Madrid, Comunidad de;B87286209;https://noysi.com;Internet;11-50 empleados;MADRID, MADRID;De financiación privada;CALLE LAS PEDROÑERAS, 2 3º F.  28043, MADRID, MADRID    ;5 años, 10 meses y 22 dias;6190  Otras actividades de telecomunicaciones;4811 Comunicaciones telefónicas;501.0;4.0
PENINSULA CORPORATE INNOVATION, S.L.U.;Peninsula;204.000,00 €;03/02/2021;Barcelona;Cataluña;;http://www.peninsulaboynton.com;Bienes inmobiliarios;2-10 empleados;Boynton Beach, Florida;Empresa pública;;;;;501.0;
CODED PEOPLE, S.L.;Coded People;110.000,00 €;03/02/2021;Barcelona;Cataluña;B67147975;http://codedpeople.com;E-learning;2-10 empleados;Terrassa, Cataluña / Catalunya;De financiación privada;CALLE MARE DE DEU DE LA LLUM, 7 BAJOS.  08222, TERRASSA, BARCELONA    ;3 años, 2 meses y 22 dias;6201  Actividades de programación informática;7372 Programación de ordenadores y software;501.0;
BARNIZADOS INDUSTRIALES, S.A.;BARINSA;300.000,00 €;01/02/2021;Tarragona;Cataluña;A43098383;https://www.barinsa.es/;Imprenta;51-200 empleados;Santa Bárbara, Tarragona;De financiación privada;CAMI DELS FRARES, S/N.  43570, SANTA BARBARA, TARRAGONA    ;33 años, 5 meses y 3 dias;3109  Fabricación de otros muebles;;;
MY STAGE MANAGER, S.L.;My Stage Manager;45.000,00 €;28/01/2021;Barcelona;Cataluña;B67487249;;;;;;CALLE ROSSELLO, 77.  08029, BARCELONA, BARCELONA    ;1 año, 7 meses y 6 dias;7990  Otros servicios de reservas y actividades relacionadas con los mismos;4722 Agencias de viajes;501.0;
WIN LIFE ELECTRIC VEHICLES, S.L.;Win Life;210.000,00 €;28/01/2021;Barcelona;Cataluña;B67486639;http://www.winlife.com.au;Construcción;2-10 empleados;Santa Bárbara, Tarragona;De financiación privada;CALLE VALLESPIR, 22.  08970, SANT JOAN DESPI, BARCELONA    ;1 año, 8 meses y 5 dias;2910  Fabricación de vehículos de motor;3799 EQUIPO DE TRANSPORTE SC;501.0;
VS INGENIERÍA DE SOFTWARE EMPRESARIAL, S.L.;GRUPO VS;118.000,00 €;27/01/2021;Valencia/València;Comunitat Valenciana;;;;;;;;;;;501.0;
YOLEO EDUTAINMENT, S.L.;YOLEO;58.000,00 €;27/01/2021;Barcelona;Cataluña;B66011040;http://www.winlife.com.au;Bienes inmobiliarios;2-10 empleados;Poitiers, Nouvelleaquitaine;De financiación privada;C/ SANT JOAN DE LA SALLE, 37.  08022, BARCELONA, BARCELONA    ;8 años y 14 dias;6209  Otros servicios relacionados con las tecnologías de la información y la informática;7379 Servicios relacionados con computación SC;501.0;
